cheep	A chirp, peep, or squeak, as of a young bird or mouse.
oxter	The armpit; also, the arm.
pyxie	Same as Pixy.
skulk	A number of foxes together.
favus	A disease of the scalp, produced by a vegetable parasite.
modal	A modal auxiliary.
nitro	Nitroglycerin.
oxime	One of a series of isonitroso derivatives obtained by the action of hydroxylamine on aldehydes or ketones.
umbre	See Umber.
tilde	The accentual mark placed over n, and sometimes over l, in Spanish words [thus, <ntil/, <ltil/], indicating that, in pronunciation, the sound of the following vowel is to be preceded by that of the initial, or consonantal, y.
horde	A wandering troop or gang; especially, a clan or tribe of a nomadic people migrating from place to place for the sake of pasturage, plunder, etc.; a predatory multitude.
cuish	Defensive armor for the thighs.
delta	an object having the shape of the capital <DELTA/.
sprod	A salmon in its second year.
tokin	A tocsin.
vizir	See Vizier.
craze	Craziness; insanity.
gowan	The daisy, or mountain daisy.
suing	The process of soaking through anything.
bible	A book.
potto	The kinkajou.
witts	Tin ore freed from earthy matter by stamping.
ephor	A magistrate; one of a body of five magistrates chosen by the people of ancient Sparta. They exercised control even over the king.
guaco	The Mikania Guaco, of Brazil, used for the same purpose.
sebat	The eleventh month of the ancient Hebrew year, approximately corresponding with February.
tagal	One of a Malayan race, mainly of central Luzon, next to the Visayans the most numerous of the native peoples of the Philippines. Nearly all are Christians and many are highly educated.
corps	The human body, whether living or dead.
didym	See Didymium.
hindu	Same as Hindoo.  This is now the more commonly used spelling.
bocca	The round hole in the furnace of a glass manufactory through which the fused glass is taken out.
culpa	Negligence or fault, as distinguishable from dolus (deceit, fraud), which implies intent, culpa being imputable to defect of intellect, dolus to defect of heart.
found	A thin, single-cut file for combmakers.
loche	See Loach.
stoat	The ermine in its summer pelage, when it is reddish brown, but with a black tip to the tail. The name is sometimes applied also to other brown weasels.
scrid	A screed; a shred; a fragment.
loser	One who loses; as, the loser pays for a round of beer.
medal	A piece of metal in the form of a coin, struck with a device, and intended to preserve the remembrance of a notable event or an illustrious person, or to serve as a reward.
nigua	The chigoe.
bearn	See Bairn.
droll	One whose practice it is to raise mirth by odd tricks; a jester; a buffoon; a merry-andrew.
musty	Having the rank, pungent, offensive odor and taste which substances of organic origin acquire during warm, moist weather; foul or sour and fetid; moldy; as, musty corn; musty books.
nizam	A regular soldier of the Turkish army. See Army organization, above.
plaga	A stripe of color.
arras	Tapestry; a rich figured fabric; especially, a screen or hangings of heavy cloth with interwoven figures.
annex	Something annexed or appended; as, an additional stipulation to a writing, a subsidiary building to a main building; a wing.
orgal	See Argol.
props	A game of chance, in which four sea shells, each called a prop, are used instead of dice.
prodd	A crossbow. See Prod, 3.
sorry	Grieved for the loss of some good; pained for some evil; feeling regret; -- now generally used to express light grief or affliction, but formerly often used to express deeper feeling.
shrow	A shrew.
veldt	A region or tract of land; esp., the open field, thinly forested or with bushes and shrubs; grass country.
booty	That which is seized by violence or obtained by robbery, especially collective spoil taken in war; plunder; pillage.
filly	A female foal or colt; a young mare.  Cf. Colt, Foal.
genie	Same as Genius{1}.
gamma	The third letter (<GAMMA/, <gamma/ = Eng. G) of the Greek alphabet.
husky	An Eskimo.
rewet	A gunlock.
small	The small or slender part of a thing; as, the small of the leg or of the back.
borsh	a Russian soup usually containing beet juice as a foundation, and often served with sour cream.  Also, as used in the U.S., a sour cabbage soup, called in Russian shchi.
flour	The finely ground meal of wheat, or of any other grain; especially, the finer part of meal separated by bolting; hence, the fine and soft powder of any substance; as, flour of emery; flour of mustard.
troco	An old English game; -- called also lawn billiards.
squid	Any one of numerous species of ten-armed cephalopods having a long, tapered body, and a caudal fin on each side; especially, any species of Loligo, Ommastrephes, and related genera. See Calamary, Decacerata, Dibranchiata.
crees	An Algonquin tribe of Indians, inhabiting a large part of British America east of the Rocky Mountains and south of Hudson's Bay.
faith	Belief; the assent of the mind to the truth of what is declared by another, resting solely and implicitly on his authority and veracity; reliance on testimony.
grebe	One of several swimming birds or divers, of the genus Colymbus (formerly Podiceps), and allied genera, found in the northern parts of America, Europe, and Asia. They have strong, sharp bills, and lobate toes.
groat	An old English silver coin, equal to four pence.
niopo	A kind of snuff prepared by the natives of Venezuela from the roasted seeds of a leguminous tree (Piptadenia peregrina), thence called niopo tree.
phane	See Fane.
solve	A solution; an explanation.
jayet	See Jet.
thong	A strap of leather; especially, one used for fastening anything.
elsin	A shoemaker's awl.
gelly	Jelly.
howel	A tool used by coopers for smoothing and chamfering rheir work, especially the inside of casks.
wango	A boomerang.
chaja	The crested screamer of Brazil (Palamedea chavaria syn. Chauna chavaria), so called in imitation of its notes; -- called also chauna, and faithful kamichi. It is often domesticated and is useful in guarding other poultry. See Kamichi.
grame	Anger; wrath; scorn.
kafal	The Arabian name of two trees of the genus Balsamodendron, which yield a gum resin and a red aromatic wood.
morus	A genus of trees, some species of which produce edible fruit; the mulberry. See Mulberry.
shirk	One who lives by shifts and tricks; one who avoids the performance of duty or labor.
zacco	See Zocco.
bugle	A plant of the genus Ajuga of the Mint family, a native of the Old World.
equal	One not inferior or superior to another; one having the same or a similar age, rank, station, office, talents, strength, or other quality or condition; an equal quantity or number; as, <ldquo/If equals be taken from equals the remainders are equal.<rdquo/
fader	Father.
mimer	A person who performs in a mime.
panel	A sunken compartment with raised margins, molded or otherwise, as in ceilings, wainscotings, etc.
stope	A horizontal working forming one of a series, the working faces of which present the appearance of a flight of steps.
tatch	A spot or stain; also, a trick.
rouge	A red amorphous powder consisting of ferric oxide.  It is used in polishing glass, metal, or gems, and as a cosmetic, etc. Called also crocus, jeweler's rouge, etc.
antic	A buffoon or merry-andrew; one that practices odd gesticulations; the Fool of the old play.
blank	Any void space; a void space on paper, or in any written instrument; an interval void of consciousness, action, result, etc; a void.
curia	The place where the meetings of the senate were held; the senate house.
crura	See Crus.
gourd	A false die. See Gord.
nugae	Trifles; jests.
pieta	A representation of the dead Christ, attended by the Virgin Mary or by holy women and angels.
togue	The namaycush.
nexus	Connection; tie.
patio	A paved yard or floor where ores are cleaned and sorted, or where ore, salt, mercury, etc., are trampled by horses, to effect intermixture and amalgamation.
serum	A thin watery fluid, containing more or less albumin, secreted by the serous membranes of the body, such as the pericardium and peritoneum.
tabes	Progressive emaciation of the body, accompanied with hectic fever, with no well-marked local symptoms.
arret	An arrest; a legal seizure.
basic	an artificial computer language with a relatively simplified instruction set.
foray	A sudden or irregular incursion in border warfare; hence, any irregular incursion for war or spoils; a raid.
ronco	See Croaker, n., 2. (a).
semen	The seed of plants.
chuff	A coarse or stupid fellow.
pyxis	A box; a pyx.
serai	A palace; a seraglio; also, in the East, a place for the accommodation of travelers; a caravansary, or rest house.
xerox	A copying machine which copies graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder.
blame	An expression of disapprobation fir something deemed to be wrong; imputation of fault; censure.
carus	Coma with complete insensibility; deep lethargy.
sizer	See Sizar.
sulky	A light two-wheeled carriage for a single person.
stark	Stiff; rigid.
stang	A long bar; a pole; a shaft; a stake.
tepee	An Indian wigwam or tent.
fence	That which fends off attack or danger; a defense; a protection; a cover; security; shield.
kevel	A strong cleat to which large ropes are belayed.
piler	One who places things in a pile.
rayon	A synthetic fiber, made of thin filaments of regenerated cellulose, extruded from a solution of viscose.  Called also viscose fiber and viscose rayon fiber.
lapel	That part of a garment which is turned back; specifically, the lap, or fold, of the front of a coat in continuation of collar.
litre	Same as Liter.
sisel	The suslik.
sorel	A young buck in the third year. See the Note under Buck.
ictus	The stress of voice laid upon accented syllable of a word.  Cf. Arsis.
shiel	A sheeling.
toman	A money of account in Persia, whose value varies greatly at different times and places. Its average value may be reckoned at about two and a half dollars.
wends	A Slavic tribe which once occupied the northern and eastern parts of Germany, of which a small remnant exists.
gaudy	A feast or festival; -- called also gaud-day and gaudy day.
kreel	See Creel.
scaur	A precipitous bank or rock; a scar.
segge	The hedge sparrow.
fidge	See Fidget.
honky	A white (caucasian) person; -- a term used by some African-Americans, intended to be disparaging and often taken as offensive.
state	A statement; also, a document containing a statement.
viole	A vial.
atony	Want of tone; weakness of the system, or of any organ, especially of such as are contractile.
place	To assign a place to; to put in a particular spot or place, or in a certain relative position; to direct to a particular place; to fix; to settle; to locate; as, to place a book on a shelf; to place balls in tennis.
thraw	See Throse.
palla	An oblong rectangular piece of cloth, worn by Roman ladies, and fastened with brooches.
pecan	A species of hickory (Carya oliv<ae/formis), growing in North America, chiefly in the Mississippi valley and in Texas, where it is one of the largest of forest trees; also, its fruit, a smooth, oblong nut, an inch or an inch and a half long, with a thin shell and well-flavored meat.
scrip	A small writing, certificate, or schedule; a piece of paper containing a writing.
batta	Rate of exchange; also, the discount on uncurrent coins.
boost	A push from behind, as to one who is endeavoring to climb; help.
churl	A rustic; a countryman or laborer.
nisey	A simpleton.
theta	A letter of the Greek alphabet corresponding to th in English; -- sometimes called the unlucky letter, from being used by the judges on their ballots in passing condemnation on a prisoner, it being the first letter of the Greek qa`natos, death.
tiger	A very large and powerful carnivore (Felis tigris) native of Southern Asia and the East Indies. Its back and sides are tawny or rufous yellow, transversely striped with black, the tail is ringed with black, the throat and belly are nearly white. When full grown, it equals or exceeds the lion in size and strength. Called also royal tiger, and Bengal tiger.
dagda	in Irish legend, chief god of the Tuatha De Danann; father of Angus Og and Brigit.
grout	groats.
solen	A cradle, as for a broken limb. See Cradle, 6.
straw	A stalk or stem of certain species of grain, pulse, etc., especially of wheat, rye, oats, barley, more rarely of buckwheat, beans, and pease.
verst	A Russian measure of length containing 3,500 English feet.
ziega	Curd produced from milk by adding acetic acid, after rennet has ceased to cause coagulation.
dowst	A dowse.
layby	A paved area beside a main road where cars can stop temporarily.
lawnd	See Laund.
wader	One who, or that which, wades.
basil	The skin of a sheep tanned with bark.
kyrie	See Kyrie eleison.
firer	One who fires or sets fire to anything; an incendiary.
great	The whole; the gross; as, a contract to build a ship by the great.
naker	A kind of kettledrum.
while	Space of time, or continued duration, esp. when short; a time; as, one while we thought him innocent.
apery	A place where apes are kept.
prior	a prior conviction; -- said of an accused criminal.
terce	See Tierce.
ascot	a cravat with wide square ends, tied so that the ends are laid flat; the ends are often secured with an ornamental pin; -- called cravat in Britain.
force	To constrain to do or to forbear, by the exertion of a power not resistible; to compel by physical, moral, or intellectual means; to coerce; as, masters force slaves to labor.
malar	The cheek bone, which forms a part of the lower edge of the orbit; that arch of bone beneath the eye that forms the prominence of the cheek; also called the malar bone.
ombre	A large Mediterranean food fish (Umbrina cirrhosa): -- called also umbra, and umbrine.
murry	See Muraena.
bezel	The rim which encompasses and fastens a jewel or other object, as the crystal of a watch, in the cavity in which it is set.
franc	A silver coin of France, and since 1795 the unit of the French monetary system. It has been adopted by Belgium and Swizerland. In 1913 it was equivalent to about nineteen cents American, or ten pence British, and is divided into 100 centimes.
herse	A kind of gate or portcullis, having iron bars, like a harrow, studded with iron spikes. It is hung above gateways so that it may be quickly lowered, to impede the advance of an enemy.
hoody	The hooded crow; also, in Scotland, the hooded gull.
mohur	A British Indian gold coin, of the value of fifteen silver rupees, or $7.21 (in 1913).
styca	An anglo-Saxon copper coin of the lowest value, being worth half a farthing.
sheaf	A quantity of the stalks and ears of wheat, rye, or other grain, bound together; a bundle of grain or straw.
ensis	a genus of bivalve mollusks consisting of razor clams.
frere	A friar.
owlet	A small owl; especially, the European species (Athene noctua), and the California flammulated owlet (Megascops flammeolus).
ouphe	A fairy; a goblin; an elf.
spade	An implement for digging or cutting the ground, consisting usually of an oblong and nearly rectangular blade of iron, with a handle like that of a shovel.
fetus	The young or embryo of a vertebrate animal in the womb, or in the egg; often restricted to the later stages in the development of viviparous and oviparous animals. showing the main recognizable features of the mature animal, embryo being applied to the earlier stages.
mavis	The European throstle or song thrush (Turdus musicus).
arrow	A missile weapon of offense, slender, pointed, and usually feathered and barbed, to be shot from a bow.
clear	Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls; as, a room ten feet square in the clear.
caper	The pungent grayish green flower bud of the European and Oriental caper (Capparis spinosa), much used for pickles.
melam	A white or buff-colored granular powder, C6H9N11, obtained by heating ammonium sulphocyanate.
speer	A sphere.
zante	See Zantewood.
lurry	A confused heap; a throng, as of persons; a jumble, as of sounds.
optic	The organ of sight; an eye.
sawer	One who saws; a sawyer.
bilge	The protuberant part of a cask, which is usually in the middle.
heart	A hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood.
kauri	any of various species of Dammara; as, the red kauri (Dammara lanceolata).
noise	Sound of any kind.
skain	See Skean.
zuche	A stump of a tree.
hepar	Liver of sulphur; a substance of a liver-brown color, sometimes used in medicine. It is formed by fusing sulphur with carbonates of the alkalies (esp. potassium), and consists essentially of alkaline sulphides. Called also hepar sulphuris (<?/).
oxeye	A genus of composite plants (Buphthalmum) with large yellow flowers.
yeara	The California poison oak (Rhus diversiloba).  See under Poison, a.
sigil	A seal; a signature.
clash	A loud noise resulting from collision; a noisy collision of bodies; a collision.
demon	A spirit, or immaterial being, holding a middle place between men and deities in pagan mythology.
latex	A milky or colored juice in certain plants in cavities (called latex cells or latex tubes). It contains the peculiar principles of the plants, whether aromatic, bitter, or acid, and in many instances yields caoutchouc upon coagulation.  The lattex of the India rubber plant produces the rubber of commerce on coagulation.
ledge	A shelf on which articles may be laid; also, that which resembles such a shelf in form or use, as a projecting ridge or part, or a molding or edge in joinery.
nopal	A cactaceous plant (Nopalea cochinellifera), originally Mexican, on which the cochineal insect feeds, and from which it is collected.  The name is sometimes given to other species of Cactaceae.
perch	A pole; a long staff; a rod; esp., a pole or other support for fowls to roost on or to rest on; a roost; figuratively, any elevated resting place or seat.
sythe	Scythe.
kimry	See Cymry.
noyau	A cordial of brandy, etc., flavored with the kernel of the bitter almond, or of the peach stone, etc.
sully	Soil; tarnish; stain.
nawab	A deputy ruler or viceroy in India; also, a title given by courtesy to other persons of high rank in the East.
prize	Estimation; valuation.
pelta	A small shield, especially one of an approximately elliptic form, or crescent-shaped.
souce	See 1st Souse.
stork	Any one of several species of large wading birds of the family Ciconidae, having long legs and a long, pointed bill.  They are found both in the Old World and in America, and belong to Ciconia and several allied genera.  The European white stork (Ciconia alba) is the best known.  It commonly makes its nests on the top of a building, a chimney, a church spire, or a pillar.  The black stork (Ciconia nigra) is native of Asia, Africa, and Europe.
zoism	Reverence for animal life or belief in animal powers and influences, as among savages.
comes	The answer to the theme (dux) in a fugue.
swamp	Wet, spongy land; soft, low ground saturated with water, but not usually covered with it; marshy ground away from the seashore.
swale	A gutter in a candle.
silly	Happy; fortunate; blessed.
brank	Buckwheat.
pedro	A variety of auction pitch in which the five of trumps counts five.
swink	Labor; toil; drudgery.
asset	Any article or separable part of one's assets.
agone	Agonic line.
chips	A ship's carpenter.
logan	A rocking or balanced stone.
macaw	Any parrot of the genus Ara, Sittace, or Macrocercus.  About eighteen species are known, all of them found in Central and South America.  They are large and have a very long tail, a strong hooked bill, and a naked space around the eyes.  The voice is harsh, and the colors are brilliant and strongly contrasted; they are among the largest and showiest of parrots.  Different species names have been given to the same macaw, as for example the Hyacinthine macaw, which has been variously classified as Anodorhyncus hyacynthinus, Anodorhyncus maximiliani, and Macrocercus hyacynthinus.
nates	The two anterior of the four lobes on the dorsal side of the midbrain of most mammals; the anterior optic lobes.
runer	A bard, or learned man, among the ancient Goths.
anise	An umbelliferous plant (Pimpinella anisum) growing naturally in Egypt, and cultivated in Spain, Malta, etc., for its carminative and aromatic seeds.
donat	A grammar.
fonne	A fon.
guana	See Iguana.
grosz	a Polish monetary unit, equal to <frac1x100/ of a zloty.
solid	A substance that is held in a fixed form by cohesion among its particles; a substance not fluid.
dolus	Evil intent, embracing both malice and fraud. See Culpa.
ermin	An Armenian.
fasti	The Roman calendar, which gave the days for festivals, courts, etc., corresponding to a modern almanac.
india	A country in Southern Asia; the two peninsulas of Hither and Farther India; in a restricted sense, Hither India, or Hindostan.
klick	See Click.
luger	someone who races the luge.
mudar	Either one of two asclepiadaceous shrubs (Calotropis gigantea, and Calotropis procera), which furnish a strong and valuable fiber.  The acrid milky juice is used medicinally.
usual	Such as is in common use; such as occurs in ordinary practice, or in the ordinary course of events; customary; ordinary; habitual; common.
budgy	Consisting of fur.
digue	A bank; a dike.
metol	A whitish soluble powder used as a developer in photography.  Chemically, it is the sulphate of methyl-p-amino-m-cresol.
nitre	See Niter.
codex	A book, especially an early form of book with pages stitched together, contrasting with the earlier scrolls; a manuscript; as, a DaVinci codex.
krems	A variety of white lead. See Krems lead, under Lead, n.
monte	In Spanish America, a wood; forest; timber land; esp., in parts of South America, a comparatively wooden region.
scarn	Dung.
trabu	Same as Trubu.
venue	A neighborhood or near place; the place or county in which anything is alleged to have happened; also, the place where an action is laid.
aside	Something spoken aside; as, a remark made by a stageplayer which the other players are not supposed to hear.
brier	the white heath Erica arborea.
snood	The fillet which binds the hair of a young unmarried woman, and is emblematic of her maiden character.
thegn	Thane. See Thane.
zayat	A public shed, or portico, for travelers, worshipers, etc.
bason	A basin.
shard	A piece or fragment of an earthen vessel, or a like brittle substance, as the shell of an egg or snail.
starn	The European starling.
latin	A native or inhabitant of Latium; a Roman.
stank	Water retained by an embankment; a pool of water.
scrat	An hermaphrodite.
tetel	A large African antelope (Alcelaphus tora). It has widely divergent, strongly ringed horns.
elder	A genus of shrubs (Sambucus) having broad umbels of white flowers, and small black or red berries.
feeze	Fretful excitement. [Obs.] See Feaze.
ceras	one of the often brightly colored and branching hornlike structures on the backs of nudibranchs and other related mollusks that serve as gills.
death	The cessation of all vital phenomena without capability of resuscitation, either in animals or plants.
pubes	Hence (as more commonly used), the lower part of the hypogastric region; the pubic region.
stand	The act of standing.
tally	To score with correspondent notches; hence, to make to correspond; to cause to fit or suit.
attal	Same as Attle.
lamel	See Lamella.
dowdy	An awkward, vulgarly dressed, inelegant woman.
guiac	Same as Guaiac.
gobio	A genus of fish comprising the true gudgeons.
phebe	See Ph<oe/be.
odist	A writer of an ode or odes.
prill	Ore selected for excellence.
paolo	An old Italian silver coin, worth about ten cents.
picea	A genus of coniferous trees of the northen hemisphere, including the Norway spruce and the American black and white spruces. These trees have pendent cones, which do not readily fall to pieces, in this and other respects differing from the firs.
tasto	A key or thing touched to produce a tone.
graft	To insert (a graft) in a branch or stem of another tree; to propagate by insertion in another stock; also, to insert a graft upon.
march	The act of marching; a movement of soldiers from one stopping place to another; military progress; advance of troops.
swarm	A large number or mass of small animals or insects, especially when in motion.
hegge	A hedge.
manid	Any species of the genus Manis, or family Manidae.
pound	A certain specified measure of mass or weight; especially, a legal standard consisting of an established number of ounces.
spica	A kind of bandage passing, by successive turns and crosses, from an extremity to the trunk; -- so called from its resemblance to a spike of a barley.
ackee	red pear-shaped tropical fruit with poisonous seeds; its flesh is poisonous when unripe or overripe.
ursal	The ursine seal. See the Note under 1st Seal.
vitta	One of the oil tubes in the fruit of umbelliferous plants.
anura	One of the orders of amphibians characterized by the absence of a tail, as the frogs and toads.
educt	That which is educed, as by analysis.
hippo	Same as hippopotamus.
jenny	A machine for spinning a number of threads at once, -- used in factories.  Also called spinning jenny.
rubus	A genus of rosaceous plants, including the raspberry and blackberry.
swish	A sound of quick movement, as of something whirled through the air.
sheep	Any one of several species of ruminants of the genus Ovis, native of the higher mountains of both hemispheres, but most numerous in Asia.
bolas	A kind of missile weapon consisting of one, two, or more balls of stone, iron, or other material, attached to the ends of a leather cord; -- used by the Gauchos of South America, and others, for hurling at and entangling an animal.
inkle	A kind of tape or braid.
algin	A nitrogenous substance resembling gelatin, obtained from certain alg<ae/.
cryal	The heron
ocrea	See Ochrea.
peach	A well-known high-flavored juicy fruit, containing one or two seeds in a hard almond-like endocarp or stone.  In the wild stock the fruit is hard and inedible.
shack	The grain left after harvest or gleaning; also, nuts which have fallen to the ground.
tense	One of the forms which a verb takes by inflection or by adding auxiliary words, so as to indicate the time of the action or event signified; the modification which verbs undergo for the indication of time.
villa	A country seat; a country or suburban residence of some pretensions to elegance.
firth	An arm of the sea; a frith.
major	An officer next in rank above a captain and next below a lieutenant colonel; the lowest field officer.
musar	An itinerant player on the musette, an instrument formerly common in Europe.
swift	The current of a stream.
sport	That which diverts, and makes mirth; pastime; amusement.
varec	The calcined ashes of any coarse seaweed used for the manufacture of soda and iodine; also, the seaweed itself; fucus; wrack.
eikon	An image or effigy; -- used rather in an abstract sense, and rarely for a work of art.
medoc	A class of claret wines, including several varieties, from the district of M<eacute/doc in the department of Gironde.
ajour	of or pertaining to objects which are pierced or decorated with an openwork pattern.
barge	A pleasure boat; a vessel or boat of state, elegantly furnished and decorated.
comma	A character or point [,] marking the smallest divisions of a sentence, written or printed.
drift	A driving; a violent movement.
kayak	A light canoe, made of skins stretched over a frame, and usually capable of carrying but one person, who sits amidships and uses a double-bladed paddle. It is peculiar to the Eskimos and other Arctic tribes.
lanai	an island in the Hawaiian chain.
snowl	The hooded merganser.
stout	A strong, dark malt brew having a higher percentage of hops than porter; strong porter; a popular variety sold in the U. S. is Guinness' stout.
troll	The act of moving round; routine; repetition.
apnea	transient cessation of respiration.
decad	A decade.
marai	A sacred inclosure or temple; -- so called by the islanders of the Pacific Ocean.
purre	The dunlin.
sorex	A genus of small Insectivora, including the common shrews.
xylem	That portion of a fibrovascular bundle which has developed, or will develop, into wood cells; -- distinguished from phloem.
beeld	Same as Beild.
ceryl	A radical, C27H55 supposed to exist in several compounds obtained from Chinese wax, beeswax, etc.
odeum	See Odeon.
pryan	See Prian.
ampul	Same as Ampulla, 2.
crang	See Krang.
farse	An addition to, or a paraphrase of, some part of the Latin service in the vernacular; -- common in English before the Reformation.
loral	Of or pertaining to the lores.
pomey	A figure supposed to resemble an apple; a roundel, -- always of a green color.
fetch	A stratagem by which a thing is indirectly brought to pass, or by which one thing seems intended and another is done; a trick; an artifice.
snast	The snuff, or burnt wick, of a candle.
theca	A sheath; a case; as, the theca, or cell, of an anther; the theca, or spore case, of a fungus; the theca of the spinal cord.
claik	See Clake.
labor	To exert muscular strength; to exert one's strength with painful effort, particularly in servile occupations; to work; to toil.
saxon	A native or inhabitant of modern Saxony.
luter	One who applies lute.
sutra	A collection of such aphorisms.
apple	The fleshy pome or fruit of a rosaceous tree (Pyrus malus) cultivated in numberless varieties in the temperate zones.
fifty	The sum of five tens; fifty units or objects.
ought	See Aught.
alibi	The plea or mode of defense under which a person on trial for a crime proves or attempts to prove that he was in another place when the alleged act was committed; as, to set up an alibi; to prove an alibi.
gorma	The European cormorant.
growl	The deep, threatening sound made by a surly dog; a grumbling sound.
hilus	Same as Hilum, 2.
likin	A Chinese provincial tax levied at many inland stations upon imports or articles in transit.
scate	See Skate, for the foot.
lapps	A branch of the Mongolian race, now living in the northern parts of Norway, Sweden, and the adjacent parts of Russia.
motif	Motive.
morwe	See Morrow.
quoit	A game played with quoits.
sheet	A broad piece of cloth, usually linen or cotton, used for wrapping the body or for a covering; especially, one used as an article of bedding next to the body.
tiver	A kind of ocher which is used in some parts of England in marking sheep.
clift	A cleft of crack; a narrow opening.
pecul	See Picul.
decay	Gradual failure of health, strength, soundness, prosperity, or of any species of excellence or perfection; tendency toward dissolution or extinction; corruption; rottenness; decline; deterioration; as, the decay of the body; the decay of virtue; the decay of the Roman empire; a castle in decay.
hyson	A fragrant kind of green tea.
kweek	A trailing grass (Cynodon dactylon) native to Europe, now cosmopolitan in warm regions; used for lawns and pastures especially in the Southern U. S. and India.  Called also Bahama grass and Bermuda grass.
socle	A plain face or plinth at the lower part of a wall.
cogue	A small wooden vessel; a pail.
donax	A canelike grass of southern Europe (Arundo Donax), used for fishing rods, etc.
idiom	The syntactical or structural form peculiar to any language; the genius or cast of a language.
slade	A little dell or valley; a flat piece of low, moist ground.
dutch	The people of Holland; Dutchmen.
frock	A loose outer garment; especially, a gown forming a part of European modern costume for women and children; also, a coarse shirtlike garment worn by some workmen over their other clothes; a smock frock; as, a marketman's frock.
jinks	noisy and mischievous merrymaking.
linen	Thread or cloth made of flax or (rarely) of hemp; -- used in a general sense to include cambric, shirting, sheeting, towels, tablecloths, etc.; as, bed linens
xebec	A small three-masted vessel, with projecting bow and stern and convex decks, used in the Mediterranean for transporting merchandise, etc.  It carries large square sails, or lateen sails, or both.  Xebecs were formerly armed and used by corsairs.
penis	The erectile external sexual organ of males, used in copulation, and in mammals, also for urination.
paddy	Unhusked rice; -- commonly so called in the East Indies.
slush	Soft mud.
yunca	An Indian of a linguistic stock of tribes of the Peruvian coast who had a developed agricultural civilization at the advent of the Spaniards, before which they had been conquered by the Incas. They constructed irrigation canals which are still in use, adorned their buildings with bas-reliefs and frescoes, and were skilled goldsmiths and silversmiths.
diana	The daughter of Jupiter and Latona; a virgin goddess who presided over hunting, chastity, and marriage; -- identified with the Greek goddess Artemis.
goter	A gutter.
knarl	A knot in wood. See Gnarl.
bacca	an indehiscent fruit derived from a single ovary having one or many seeds within a fleshy wall or pericarp: e. g. grape; tomato; cranberry.
coomb	A dry measure of four bushels, or half a quarter.
sojer	Var. of Soldier.
haunt	A place to which one frequently resorts; as, drinking saloons are the haunts of tipplers; a den is the haunt of wild beasts.
louse	Any one of numerous species of small, wingless, suctorial, parasitic insects belonging to a tribe (Pediculina), now usually regarded as degraded Hemiptera. To this group belong of the lice of man and other mammals; as, the head louse of man (Pediculus capitis), the body louse (Pediculus vestimenti), and the crab louse (Phthirius pubis), and many others. See Crab louse, Dog louse, Cattle louse, etc., under Crab, Dog, etc.
pence	pl. of Penny. See Penny.
stupe	A stupid person.
tupai	Any one of the tupaiids.
tatou	The giant armadillo (Priodontes gigas) of tropical South America. It becomes nearly five feet long including the tail. It is noted for its burrowing powers, feeds largely upon dead animals, and sometimes invades human graves.
farad	The standard unit of electrical capacity; the capacity of a condenser whose charge, having an electro-motive force of one volt, is equal to the amount of electricity which, with the same electromotive force, passes through one ohm in one second; the capacity, which, charged with one coulomb, gives an electro-motive force of one volt.
jacob	A Hebrew patriarch (son of Isaac, and ancestor of the Jews), who in a vision saw a ladder reaching up to heaven (Gen. xxviii. 12); -- also called Israel.
yacca	A West Indian name for two large timber trees (Podocarpus coriaceus, and Podocarpus Purdicanus) of the Yew family. The wood, which is much used, is pale brownish with darker streaks.
eolis	A genus of nudibranch mollusks having clusters of branchial papill<ae/ along the back. See Ceratobranchia.
macle	A twin crystal.
talon	The claw of a predaceous bird or animal, especially the claw of a bird of prey.
wages	A compensation given to a hired person for services; price paid for labor; recompense; hire.  See Wage, n., 2.
crape	To form into ringlets; to curl; to crimp; to friz; as, to crape the hair; to crape silk.
dolly	A child's mane for a doll.
picra	The powder of aloes with canella, formerly officinal, employed as a cathartic.
attar	A fragrant essential oil; esp., a volatile and highly fragrant essential oil obtained from the petals of roses.
phone	An instrument that converts sound into signals that can be transmitted over distances and then converts received signals back into sounds; a telephone; as, I talked to him on the phone.
spelk	A small stick or rod used as a spike in thatching; a splinter.
witch	A cone of paper which is placed in a vessel of lard or other fat, and used as a taper.
beroe	A small, oval, transparent jellyfish, belonging to the Ctenophora.
hadji	A Muslim who has made a pilgrimage to Mecca; -- used among Orientals as a respectful salutation or a title of honor.
lepus	The type genus of the Leporidae, comprising the hares.
seynt	A gridle. See 1st Seint.
beast	Any living creature; an animal; -- including man, insects, etc.
doter	One who dotes; a man whose understanding is enfeebled by age; a dotard.
dolma	a dish composed of well-seasoned rice (with nuts or currants of minced lamb) simmered or braised in stock, stuffed into tomatoes or green peppers, or wrapped in grape leaves; -- popular in the near east.
emmer	a hard red wheat (Triticum dicoccum) grown especially in Russia and Germany; also grown in the U. S. as stock feed.
skink	Drink; also, pottage.
xenyl	The radical characteristic of xenylic compounds.
human	A human being.
pilot	One employed to steer a vessel; a helmsman; a steersman.
serac	A pinnacle of ice among the crevasses of a glacier; also, one of the blocks into which a glacier breaks on a steep grade.
tarsi	pl. of Tarsus.
enema	An injection, or clyster, thrown into the rectum as a medicine, or to impart nourishment.
javel	A vagabond.
